,,Final,,,Semi,,,Info,,,Overall #,,,GF #,,,SF #,,
435,1982,12,64.71%,1982,,,,🇪🇸 Spain,Lucía,Él,10,18,47.06%,10,18,47.06%,,,
436,1982,13,70.59%,1982,,,,🇩🇰 Denmark,Brixx,"Video, Video",17,18,5.88%,17,18,5.88%,,,
437,1982,14,76.47%,1982,,,,🏳 Yugoslavia,Aska,"Halo, halo",14,18,23.53%,14,18,23.53%,,,
438,1982,15,82.35%,1982,,,,🇮🇱 Israel,Avi Toledano,Hora,2,18,94.12%,2,18,94.12%,,,
439,1982,16,88.24%,1982,,,,🇳🇱 Netherlands,Bill van Dijk,Jij en ik,16,18,11.76%,16,18,11.76%,,,
440,1982,17,94.12%,1982,,,,🇮🇪 Ireland,The Duskeys,Here Today Gone Tomorrow,11,18,41.18%,11,18,41.18%,,,
441,1982,18,100.00%,1982,,,,🇩🇪 Germany,Nicole,Ein bißchen Frieden,1,18,100.00%,1,18,100.00%,,,
442,1983,1,0.00%,1983,,,,🇫🇷 France,Guy Bonnet,Vivre,8,20,63.16%,8,20,63.16%,,,
443,1983,2,5.26%,1983,,,,🇳🇴 Norway,Jahn Teigen,Do Re Mi,9.5,20,55.26%,9.5,20,55.26%,,,
444,1983,3,10.53%,1983,,,,🇬🇧 United Kingdom,Sweet Dreams,I'm Never Giving Up,6,20,73.68%,6,20,73.68%,,,
445,1983,4,15.79%,1983,,,,🇸🇪 Sweden,Carola Häggkvist,Främling,3,20,89.47%,3,20,89.47%,,,
446,1983,5,21.05%,1983,,,,🇮🇹 Italy,Riccardo Fogli,Per Lucia,11.5,20,44.74%,11.5,20,44.74%,,,
447,1983,6,26.32%,1983,,,,🇹🇷 Türkiye,Çetin Alp & the Short Waves,Opera,19.5,20,2.63%,19.5,20,2.63%,,,
448,1983,7,31.58%,1983,,,,🇪🇸 Spain,Remedios Amaya,¿Quién maneja mi barca?,19.5,20,2.63%,19.5,20,2.63%,,,
449,1983,8,36.84%,1983,,,,🇨🇭 Switzerland,Mariella Farré,Io così non ci sto,15,20,26.32%,15,20,26.32%,,,
450,1983,9,42.11%,1983,,,,🇫🇮 Finland,Ami Aspelund,Fantasiaa,11.5,20,44.74%,11.5,20,44.74%,,,
451,1983,10,47.37%,1983,,,,🇬🇷 Greece,Christie Stasinopoulou,Mou les,14,20,31.58%,14,20,31.58%,,,
452,1983,11,52.63%,1983,,,,🇳🇱 Netherlands,Bernadette,Sing Me a Song,7,20,68.42%,7,20,68.42%,,,
453,1983,12,57.89%,1983,,,,🏳 Yugoslavia,Daniel,Džuli,4,20,84.21%,4,20,84.21%,,,
454,1983,13,63.16%,1983,,,,🇨🇾 Cyprus,Stavros & Constantina,I agapi akoma zi,16,20,21.05%,16,20,21.05%,,,
455,1983,14,68.42%,1983,,,,🇩🇪 Germany,Hoffmann & Hoffmann,Rücksicht,5,20,78.95%,5,20,78.95%,,,
456,1983,15,73.68%,1983,,,,🇩🇰 Denmark,Gry Johansen,Kloden drejer,17,20,15.79%,17,20,15.79%,,,
457,1983,16,78.95%,1983,,,,🇮🇱 Israel,Ofra Haza,Hi,2,20,94.74%,2,20,94.74%,,,
458,1983,17,84.21%,1983,,,,🇵🇹 Portugal,Armando Gama,Esta balada que te dou,13,20,36.84%,13,20,36.84%,,,
459,1983,18,89.47%,1983,,,,🇦🇹 Austria,Westend,Hurricane,9.5,20,55.26%,9.5,20,55.26%,,,
460,1983,19,94.74%,1983,,,,🇧🇪 Belgium,Pas de Deux,Rendez-vous,18,20,10.53%,18,20,10.53%,,,
461,1983,20,100.00%,1983,,,,🇱🇺 Luxembourg,Corinne Hermès,Si la vie est cadeau,1,20,100.00%,1,20,100.00%,,,
462,1984,1,0.00%,1984,,,,🇸🇪 Sweden,Herreys,Diggi-Loo Diggi-Ley,1,19,100.00%,1,19,100.00%,,,
463,1984,2,5.56%,1984,,,,🇱🇺 Luxembourg,Sophie Carle,100% d'amour,10,19,50.00%,10,19,50.00%,,,
464,1984,3,11.11%,1984,,,,🇫🇷 France,Annick Thoumazeau,Autant d'amoureux que d'étoiles,8,19,61.11%,8,19,61.11%,,,
465,1984,4,16.67%,1984,,,,🇪🇸 Spain,Bravo,"Lady, Lady",3,19,88.89%,3,19,88.89%,,,
466,1984,5,22.22%,1984,,,,🇳🇴 Norway,Dollie de Luxe,Lenge leve livet,17,19,11.11%,17,19,11.11%,,,
467,1984,6,27.78%,1984,,,,🇬🇧 United Kingdom,Belle & the Devotions,Love Games,7,19,66.67%,7,19,66.67%,,,
468,1984,7,33.33%,1984,,,,🇨🇾 Cyprus,Andy Paul,Anna Maria Lena,15,19,22.22%,15,19,22.22%,,,
469,1984,8,38.89%,1984,,,,🇧🇪 Belgium,Jacques Zegers,Avanti la vie,5.5,19,75.00%,5.5,19,75.00%,,,
470,1984,9,44.44%,1984,,,,🇮🇪 Ireland,Linda Martin,Terminal 3,2,19,94.44%,2,19,94.44%,,,
471,1984,10,50.00%,1984,,,,🇩🇰 Denmark,Hot Eyes,Det' lige det,4,19,83.33%,4,19,83.33%,,,
472,1984,11,55.56%,1984,,,,🇳🇱 Netherlands,Maribelle,Ik hou van jou,13.5,19,30.56%,13.5,19,30.56%,,,
473,1984,12,61.11%,1984,,,,🏳 Yugoslavia,Vlado & Isolda,"Ciao, amore",18,19,5.56%,18,19,5.56%,,,
474,1984,13,66.67%,1984,,,,🇦🇹 Austria,Anita,Einfach weg,19,19,0.00%,19,19,0.00%,,,
475,1984,14,72.22%,1984,,,,🇩🇪 Germany,Mary Roos,Aufrecht geh'n,13.5,19,30.56%,13.5,19,30.56%,,,
476,1984,15,77.78%,1984,,,,🇹🇷 Türkiye,"Beş Yıl Önce, On Yıl Sonra",Halay,12,19,38.89%,12,19,38.89%,,,
477,1984,16,83.33%,1984,,,,🇫🇮 Finland,Kirka,Hengaillaan,9,19,55.56%,9,19,55.56%,,,
478,1984,17,88.89%,1984,,,,🇨🇭 Switzerland,Rainy Day,Welche Farbe hat der Sonnenschein?,16,19,16.67%,16,19,16.67%,,,
479,1984,18,94.44%,1984,,,,🇮🇹 Italy,Alice & Franco Battiato,I treni di Tozeur,5.5,19,75.00%,5.5,19,75.00%,,,
480,1984,19,100.00%,1984,,,,🇵🇹 Portugal,Maria Guinot,Silêncio e tanta gente,11,19,44.44%,11,19,44.44%,,,
481,1985,1,0.00%,1985,,,,🇮🇪 Ireland,Maria Christian,Wait Until the Weekend Comes,6,19,72.22%,6,19,72.22%,,,
482,1985,2,5.56%,1985,,,,🇫🇮 Finland,Sonja Lumme,Eläköön elämä,9,19,55.56%,9,19,55.56%,,,
483,1985,3,11.11%,1985,,,,🇨🇾 Cyprus,Lia Vissi,To katalava arga,16.5,19,13.89%,16.5,19,13.89%,,,
484,1985,4,16.67%,1985,,,,🇩🇰 Denmark,Hot Eyes,Sku' du spørg' fra no'en?,11,19,44.44%,11,19,44.44%,,,
485,1985,5,22.22%,1985,,,,🇪🇸 Spain,Paloma San Basilio,La fiesta terminó,14.5,19,25.00%,14.5,19,25.00%,,,
486,1985,6,27.78%,1985,,,,🇫🇷 France,Roger Bens,Femme dans ses rêves aussi,10,19,50.00%,10,19,50.00%,,,
487,1985,7,33.33%,1985,,,,🇹🇷 Türkiye,MFÖ,Didai didai dai (a'sik Oldum),14.5,19,25.00%,14.5,19,25.00%,,,
488,1985,8,38.89%,1985,,,,🇧🇪 Belgium,Linda Lepomme,Laat me nu gaan,19,19,0.00%,19,19,0.00%,,,
489,1985,9,44.44%,1985,,,,🇵🇹 Portugal,Adelaide,"Penso em ti, eu sei",18,19,5.56%,18,19,5.56%,,,
490,1985,10,50.00%,1985,,,,🇩🇪 Germany,Wind,Für alle,2,19,94.44%,2,19,94.44%,,,
491,1985,11,55.56%,1985,,,,🇮🇱 Israel,Izhar Cohen,"Olé, Olé",5,19,77.78%,5,19,77.78%,,,
492,1985,12,61.11%,1985,,,,🇮🇹 Italy,Al Bano & Romina Power,Magic Oh Magic,7,19,66.67%,7,19,66.67%,,,
493,1985,13,66.67%,1985,,,,🇳🇴 Norway,Bobbysocks!,La det swinge,1,19,100.00%,1,19,100.00%,,,
494,1985,14,72.22%,1985,,,,🇬🇧 United Kingdom,Vikki,Love Is…,4,19,83.33%,4,19,83.33%,,,
495,1985,15,77.78%,1985,,,,🇨🇭 Switzerland,Mariella Farré & Pino Gasparini,"Piano, piano",12,19,38.89%,12,19,38.89%,,,
496,1985,16,83.33%,1985,,,,🇸🇪 Sweden,Kikki Danielsson,Bra vibrationer,3,19,88.89%,3,19,88.89%,,,
497,1985,17,88.89%,1985,,,,🇦🇹 Austria,Gary Lux,Kinder dieser Welt,8,19,61.11%,8,19,61.11%,,,
498,1985,18,94.44%,1985,,,,🇱🇺 Luxembourg,"Margo, Franck Olivier, Diane Solomon, Ireen Sheer, Chris & Malcolm Roberts","Children, Kinder, Enfants",13,19,33.33%,13,19,33.33%,,,
499,1985,19,100.00%,1985,,,,🇬🇷 Greece,Takis Biniaris,Miazoume,16.5,19,13.89%,16.5,19,13.89%,,,
500,1986,1,0.00%,1986,,,,🇱🇺 Luxembourg,Sherisse Laurence,L'amour de ma vie,3,20,89.47%,3,20,89.47%,,,
501,1986,2,5.26%,1986,,,,🏳 Yugoslavia,Doris Dragović,Željo moja,11,20,47.37%,11,20,47.37%,,,
502,1986,3,10.53%,1986,,,,🇫🇷 France,Cocktail Chic,Européennes,17,20,15.79%,17,20,15.79%,,,
503,1986,4,15.79%,1986,,,,🇳🇴 Norway,Ketil Stokkan,Romeo,12,20,42.11%,12,20,42.11%,,,
504,1986,5,21.05%,1986,,,,🇬🇧 United Kingdom,Ryder,Runner in the Night,7,20,68.42%,7,20,68.42%,,,
505,1986,6,26.32%,1986,,,,🇮🇸 Iceland,ICY,Gleðibankinn,16,20,21.05%,16,20,21.05%,,,
506,1986,7,31.58%,1986,,,,🇳🇱 Netherlands,Frizzle Sizzle,Alles heeft ritme,13,20,36.84%,13,20,36.84%,,,
507,1986,8,36.84%,1986,,,,🇹🇷 Türkiye,Klips ve Onlar,Halley,9,20,57.89%,9,20,57.89%,,,
508,1986,9,42.11%,1986,,,,🇪🇸 Spain,Cadillac,Valentino,10,20,52.63%,10,20,52.63%,,,
509,1986,10,47.37%,1986,,,,🇨🇭 Switzerland,Daniela Simmons,Pas pour moi,2,20,94.74%,2,20,94.74%,,,
510,1986,11,52.63%,1986,,,,🇮🇱 Israel,Moti Giladi & Sarai Tzuriel,Yavo Yom,19,20,5.26%,19,20,5.26%,,,
511,1986,12,57.89%,1986,,,,🇮🇪 Ireland,Luv Bug,You Can Count On Me,4,20,84.21%,4,20,84.21%,,,
512,1986,13,63.16%,1986,,,,🇧🇪 Belgium,Sandra Kim,J'aime la vie,1,20,100.00%,1,20,100.00%,,,
513,1986,14,68.42%,1986,,,,🇩🇪 Germany,Ingrid Peters,Über die Brücke geh'n,8,20,63.16%,8,20,63.16%,,,
514,1986,15,73.68%,1986,,,,🇨🇾 Cyprus,Elpida,Tora zo,20,20,0.00%,20,20,0.00%,,,
515,1986,16,78.95%,1986,,,,🇦🇹 Austria,Timna Brauer,Die Zeit ist einsam,18,20,10.53%,18,20,10.53%,,,
516,1986,17,84.21%,1986,,,,🇸🇪 Sweden,Lasse Holm & Monica Törnell,E' de' det här du kallar kärlek?,5,20,78.95%,5,20,78.95%,,,
517,1986,18,89.47%,1986,,,,🇩🇰 Denmark,Lise Haavik,Du er fuld af løgn,6,20,73.68%,6,20,73.68%,,,
518,1986,19,94.74%,1986,,,,🇫🇮 Finland,Kari Kuivalainen,Never the End,15,20,26.32%,15,20,26.32%,,,
519,1986,20,100.00%,1986,,,,🇵🇹 Portugal,Dora,Não sejas mau para mim,14,20,31.58%,14,20,31.58%,,,
520,1987,1,0.00%,1987,,,,🇳🇴 Norway,Kate Gulbrandsen,Mitt liv,9,22,61.90%,9,22,61.90%,,,
521,1987,2,4.76%,1987,,,,🇮🇱 Israel,Datner & Kushnir,Shir Habatlanim,8,22,66.67%,8,22,66.67%,,,
522,1987,3,9.52%,1987,,,,🇦🇹 Austria,Gary Lux,Nur noch Gefühl,20,22,9.52%,20,22,9.52%,,,
523,1987,4,14.29%,1987,,,,🇮🇸 Iceland,Halla Margrét,Hægt og hljótt,16,22,28.57%,16,22,28.57%,,,
524,1987,5,19.05%,1987,,,,🇧🇪 Belgium,Liliane Saint-Pierre,Soldiers of Love,11,22,52.38%,11,22,52.38%,,,
525,1987,6,23.81%,1987,,,,🇸🇪 Sweden,Lotta Engberg,Boogaloo,12,22,47.62%,12,22,47.62%,,,
526,1987,7,28.57%,1987,,,,🇮🇹 Italy,Umberto Tozzi & Raf,Gente di mare,3,22,90.48%,3,22,90.48%,,,
527,1987,8,33.33%,1987,,,,🇵🇹 Portugal,Nevada,Neste barco à vela,18,22,19.05%,18,22,19.05%,,,
528,1987,9,38.10%,1987,,,,🇪🇸 Spain,Patricia Kraus,No estás solo,19,22,14.29%,19,22,14.29%,,,
529,1987,10,42.86%,1987,,,,🇹🇷 Türkiye,Seyyal Taner & Lokomotif,Şarkım Sevgi Üstüne,22,22,0.00%,22,22,0.00%,,,
530,1987,11,47.62%,1987,,,,🇬🇷 Greece,Bang,Stop,10,22,57.14%,10,22,57.14%,,,
531,1987,12,52.38%,1987,,,,🇳🇱 Netherlands,Marcha,Rechtop in de wind,5.5,22,78.57%,5.5,22,78.57%,,,
532,1987,13,57.14%,1987,,,,🇱🇺 Luxembourg,Plastic Bertrand,"Amour, amour",21,22,4.76%,21,22,4.76%,,,
533,1987,14,61.90%,1987,,,,🇬🇧 United Kingdom,Rikki,Only the Light,13,22,42.86%,13,22,42.86%,,,
534,1987,15,66.67%,1987,,,,🇫🇷 France,Christine Minier,Les mots d'amour n'ont pas de dimanche,14,22,38.10%,14,22,38.10%,,,
535,1987,16,71.43%,1987,,,,🇩🇪 Germany,Wind,Lass die Sonne in dein Herz,2,22,95.24%,2,22,95.24%,,,
536,1987,17,76.19%,1987,,,,🇨🇾 Cyprus,Alexia,Aspro-mavro,7,22,71.43%,7,22,71.43%,,,
537,1987,18,80.95%,1987,,,,🇫🇮 Finland,Vicky Rosti & Boulevard,Sata salamaa,15,22,33.33%,15,22,33.33%,,,
538,1987,19,85.71%,1987,,,,🇩🇰 Denmark,Anne-Cathrine Herdorf & Bandjo,En lille melodi,5.5,22,78.57%,5.5,22,78.57%,,,
539,1987,20,90.48%,1987,,,,🇮🇪 Ireland,Johnny Logan,Hold Me Now,1,22,100.00%,1,22,100.00%,,,
540,1987,21,95.24%,1987,,,,🏳 Yugoslavia,Novi fosili,Ja sam za ples,4,22,85.71%,4,22,85.71%,,,
541,1987,22,100.00%,1987,,,,🇨🇭 Switzerland,Carol Rich,"Moitié, moitié",17,22,23.81%,17,22,23.81%,,,
542,1988,1,0.00%,1988,,,,🇮🇸 Iceland,Beathoven,Þú og þeir (Sókrates),16,21,25.00%,16,21,25.00%,,,
543,1988,2,5.00%,1988,,,,🇸🇪 Sweden,Tommy Körberg,Stad i ljus,12.5,21,42.50%,12.5,21,42.50%,,,
544,1988,3,10.00%,1988,,,,🇫🇮 Finland,Boulevard,Nauravat silmät muistetaan,20,21,5.00%,20,21,5.00%,,,
545,1988,4,15.00%,1988,,,,🇬🇧 United Kingdom,Scott Fitzgerald,Go,2,21,95.00%,2,21,95.00%,,,
546,1988,5,20.00%,1988,,,,🇹🇷 Türkiye,MFÖ,Sufi (Hey Ya Hey),15,21,30.00%,15,21,30.00%,,,
547,1988,6,25.00%,1988,,,,🇪🇸 Spain,La Década,La chica que yo quiero (Made in Spain),11,21,50.00%,11,21,50.00%,,,
548,1988,7,30.00%,1988,,,,🇳🇱 Netherlands,Gerard Joling,Shangri-La,9,21,60.00%,9,21,60.00%,,,
549,1988,8,35.00%,1988,,,,🇮🇱 Israel,Yardena Arazi,Ben Adam,7,21,70.00%,7,21,70.00%,,,
550,1988,9,40.00%,1988,,,,🇨🇭 Switzerland,Céline Dion,Ne partez pas sans moi,1,21,100.00%,1,21,100.00%,,,
551,1988,10,45.00%,1988,,,,🇮🇪 Ireland,Jump the Gun,Take Him Home,8,21,65.00%,8,21,65.00%,,,
552,1988,11,50.00%,1988,,,,🇩🇪 Germany,Maxi & Chris Garden,Lied für einen Freund,14,21,35.00%,14,21,35.00%,,,
553,1988,12,55.00%,1988,,,,🇦🇹 Austria,Wilfried,Lisa Mona Lisa,21,21,0.00%,21,21,0.00%,,,
554,1988,13,60.00%,1988,,,,🇩🇰 Denmark,Hot Eyes,Ka' du se hva' jeg sa'?,3,21,90.00%,3,21,90.00%,,,
555,1988,14,65.00%,1988,,,,🇬🇷 Greece,Afroditi Frida,Clown,17,21,20.00%,17,21,20.00%,,,
556,1988,15,70.00%,1988,,,,🇳🇴 Norway,Karoline Krüger,For vår jord,5,21,80.00%,5,21,80.00%,,,
557,1988,16,75.00%,1988,,,,🇧🇪 Belgium,Reynaert,Laissez briller le soleil,18.5,21,12.50%,18.5,21,12.50%,,,
558,1988,17,80.00%,1988,,,,🇱🇺 Luxembourg,Lara Fabian,Croire,4,21,85.00%,4,21,85.00%,,,
559,1988,18,85.00%,1988,,,,🇮🇹 Italy,Luca Barbarossa,Vivo (Ti scrivo),12.5,21,42.50%,12.5,21,42.50%,,,
560,1988,19,90.00%,1988,,,,🇫🇷 France,Gérard Lenorman,Chanteur de charme,10,21,55.00%,10,21,55.00%,,,
561,1988,20,95.00%,1988,,,,🇵🇹 Portugal,Dora,Voltarei,18.5,21,12.50%,18.5,21,12.50%,,,
562,1988,21,100.00%,1988,,,,🏳 Yugoslavia,Srebrna krila,Mangup,6,21,75.00%,6,21,75.00%,,,
563,1989,1,0.00%,1989,,,,🇮🇹 Italy,Anna Oxa & Fausto Leali,Avrei voluto,9.5,22,59.52%,9.5,22,59.52%,,,
564,1989,2,4.76%,1989,,,,🇮🇱 Israel,Gili & Galit,Derekh Hamelekh,12,22,47.62%,12,22,47.62%,,,
565,1989,3,9.52%,1989,,,,🇮🇪 Ireland,Kiev Connolly & The Missing Passengers,The Real Me,18,22,19.05%,18,22,19.05%,,,
566,1989,4,14.29%,1989,,,,🇳🇱 Netherlands,Justine Pelmelay,Blijf zoals je bent,15,22,33.33%,15,22,33.33%,,,
567,1989,5,19.05%,1989,,,,🇹🇷 Türkiye,Pan,Bana Bana,21,22,4.76%,21,22,4.76%,,,
568,1989,6,23.81%,1989,,,,🇧🇪 Belgium,Ingeborg,Door de wind,19,22,14.29%,19,22,14.29%,,,
569,1989,7,28.57%,1989,,,,🇬🇧 United Kingdom,Live Report,Why Do I Always Get it Wrong?,2,22,95.24%,2,22,95.24%,,,
570,1989,8,33.33%,1989,,,,🇳🇴 Norway,Britt Synnøve Johansen,Venners nærhet,17,22,23.81%,17,22,23.81%,,,
571,1989,9,38.10%,1989,,,,🇵🇹 Portugal,Da Vinci,Conquistador,16,22,28.57%,16,22,28.57%,,,
572,1989,10,42.86%,1989,,,,🇸🇪 Sweden,Tommy Nilsson,En dag,4,22,85.71%,4,22,85.71%,,,
573,1989,11,47.62%,1989,,,,🇱🇺 Luxembourg,Park Café,Monsieur,20,22,9.52%,20,22,9.52%,,,
574,1989,12,52.38%,1989,,,,🇩🇰 Denmark,Birthe Kjær,Vi maler byen rød,3,22,90.48%,3,22,90.48%,,,
575,1989,13,57.14%,1989,,,,🇦🇹 Austria,Thomas Forstner,Nur ein Lied,5,22,80.95%,5,22,80.95%,,,
576,1989,14,61.90%,1989,,,,🇫🇮 Finland,Anneli Saaristo,La dolce vita,7,22,71.43%,7,22,71.43%,,,
577,1989,15,66.67%,1989,,,,🇫🇷 France,Nathalie Pâque,J'ai volé la vie,8,22,66.67%,8,22,66.67%,,,
578,1989,16,71.43%,1989,,,,🇪🇸 Spain,Nina,Nacida para amar,6,22,76.19%,6,22,76.19%,,,
579,1989,17,76.19%,1989,,,,🇨🇾 Cyprus,Fani Polymeri & Yiannis Savvidakis,Apopse as vrethume,11,22,52.38%,11,22,52.38%,,,
580,1989,18,80.95%,1989,,,,🇨🇭 Switzerland,Furbaz,Viver senza tei,13,22,42.86%,13,22,42.86%,,,
581,1989,19,85.71%,1989,,,,🇬🇷 Greece,Marianna Efstratiou,To diko sou asteri,9.5,22,59.52%,9.5,22,59.52%,,,
582,1989,20,90.48%,1989,,,,🇮🇸 Iceland,Daníel Ágúst Haraldsson,Það sem enginn sér,22,22,0.00%,22,22,0.00%,,,
583,1989,21,95.24%,1989,,,,🇩🇪 Germany,Nino de Angelo,Flieger,14,22,38.10%,14,22,38.10%,,,
584,1989,22,100.00%,1989,,,,🏳 Yugoslavia,Riva,Rock Me,1,22,100.00%,1,22,100.00%,,,
585,1990,1,0.00%,1990,,,,🇪🇸 Spain,Azúcar Moreno,Bandido,5,22,80.95%,5,22,80.95%,,,
586,1990,2,4.76%,1990,,,,🇬🇷 Greece,Christos Callow & Wave,Horis skopo,19,22,14.29%,19,22,14.29%,,,
587,1990,3,9.52%,1990,,,,🇧🇪 Belgium,Philippe Lafontaine,Macédomienne,12,22,47.62%,12,22,47.62%,,,
588,1990,4,14.29%,1990,,,,🇹🇷 Türkiye,Kayahan,Gözlerinin Hapsindeyim,17,22,23.81%,17,22,23.81%,,,
589,1990,5,19.05%,1990,,,,🇳🇱 Netherlands,Maywood,Ik wil alles met je delen,15,22,33.33%,15,22,33.33%,,,
590,1990,6,23.81%,1990,,,,🇱🇺 Luxembourg,Céline Carzo,Quand je te rêve,13,22,42.86%,13,22,42.86%,,,
591,1990,7,28.57%,1990,,,,🇬🇧 United Kingdom,Emma,Give a Little Love Back to the World,6,22,76.19%,6,22,76.19%,,,
592,1990,8,33.33%,1990,,,,🇮🇸 Iceland,Stjórnin,Eitt lag enn,4,22,85.71%,4,22,85.71%,,,
593,1990,9,38.10%,1990,,,,🇳🇴 Norway,Ketil Stokkan,Brandenburger Tor,21.5,22,2.38%,21.5,22,2.38%,,,
594,1990,10,42.86%,1990,,,,🇮🇱 Israel,Rita,Shara Barkhovot,18,22,19.05%,18,22,19.05%,,,
595,1990,11,47.62%,1990,,,,🇩🇰 Denmark,Lonnie Devantier,Hallo Hallo,8,22,66.67%,8,22,66.67%,,,
596,1990,12,52.38%,1990,,,,🇨🇭 Switzerland,Egon Egemann,Musik klingt in die Welt hinaus,11,22,52.38%,11,22,52.38%,,,
597,1990,13,57.14%,1990,,,,🇩🇪 Germany,Chris Kempers & Daniel Kovac,Frei zu leben,9,22,61.90%,9,22,61.90%,,,
598,1990,14,61.90%,1990,,,,🇫🇷 France,Joëlle Ursull,White and Black Blues,2.5,22,92.86%,2.5,22,92.86%,,,
599,1990,15,66.67%,1990,,,,🏳 Yugoslavia,Tajči,Hajde da ludujemo,7,22,71.43%,7,22,71.43%,,,
600,1990,16,71.43%,1990,,,,🇵🇹 Portugal,Nucha,Há sempre alguém,20,22,9.52%,20,22,9.52%,,,
601,1990,17,76.19%,1990,,,,🇮🇪 Ireland,Liam Reilly,Somewhere in Europe,2.5,22,92.86%,2.5,22,92.86%,,,
602,1990,18,80.95%,1990,,,,🇸🇪 Sweden,Edin-Ådahl,Som en vind,16,22,28.57%,16,22,28.57%,,,
603,1990,19,85.71%,1990,,,,🇮🇹 Italy,Toto Cutugno,Insieme: 1992,1,22,100.00%,1,22,100.00%,,,
604,1990,20,90.48%,1990,,,,🇦🇹 Austria,Simone,Keine Mauern mehr,10,22,57.14%,10,22,57.14%,,,
605,1990,21,95.24%,1990,,,,🇨🇾 Cyprus,Haris Anastasiou,Milas poli,14,22,38.10%,14,22,38.10%,,,
606,1990,22,100.00%,1990,,,,🇫🇮 Finland,Beat,Fri?,21.5,22,2.38%,21.5,22,2.38%,,,
607,1991,1,0.00%,1991,,,,🏳 Yugoslavia,Baby Doll,Brazil,21,22,4.76%,21,22,4.76%,,,
608,1991,2,4.76%,1991,,,,🇮🇸 Iceland,Stefán & Eyfi,Nína,15,22,33.33%,15,22,33.33%,,,
609,1991,3,9.52%,1991,,,,🇲🇹 Malta,Paul Giordimaina & Georgina,Could It Be,6,22,76.19%,6,22,76.19%,,,
610,1991,4,14.29%,1991,,,,🇬🇷 Greece,Sophia Vossou,Anixi,13,22,42.86%,13,22,42.86%,,,
611,1991,5,19.05%,1991,,,,🇨🇭 Switzerland,Sandra Simó,Canzone per te,5,22,80.95%,5,22,80.95%,,,
612,1991,6,23.81%,1991,,,,🇦🇹 Austria,Thomas Forstner,Venedig im Regen,22,22,0.00%,22,22,0.00%,,,
613,1991,7,28.57%,1991,,,,🇱🇺 Luxembourg,Sarah Bray,Un baiser volé,14,22,38.10%,14,22,38.10%,,,
614,1991,8,33.33%,1991,,,,🇸🇪 Sweden,Carola,Fångad av en stormvind,1,22,100.00%,1,22,100.00%,,,
615,1991,9,38.10%,1991,,,,🇫🇷 France,Amina,C'est le dernier qui a parlé qui a raison,2,22,95.24%,2,22,95.24%,,,
616,1991,10,42.86%,1991,,,,🇹🇷 Türkiye,"İzel Çeliköz, Reyhan Karaca & Can Uğurluer",İki Dakika,12,22,47.62%,12,22,47.62%,,,
617,1991,11,47.62%,1991,,,,🇮🇪 Ireland,Kim Jackson,Could It Be That I'm In Love,10.5,22,54.76%,10.5,22,54.76%,,,
618,1991,12,52.38%,1991,,,,🇵🇹 Portugal,Dulce Pontes,Lusitana paixão,8,22,66.67%,8,22,66.67%,,,
619,1991,13,57.14%,1991,,,,🇩🇰 Denmark,Anders Frandsen,Lige der hvor hjertet slår,19,22,14.29%,19,22,14.29%,,,
620,1991,14,61.90%,1991,,,,🇳🇴 Norway,Just 4 Fun,Mrs. Thompson,17,22,23.81%,17,22,23.81%,,,
621,1991,15,66.67%,1991,,,,🇮🇱 Israel,Duo Datz,Kan,3,22,90.48%,3,22,90.48%,,,
622,1991,16,71.43%,1991,,,,🇫🇮 Finland,Kaija Kärkinen,Hullu yö,20,22,9.52%,20,22,9.52%,,,
623,1991,17,76.19%,1991,,,,🇩🇪 Germany,Atlantis 2000,Dieser Traum darf niemals sterben,18,22,19.05%,18,22,19.05%,,,
624,1991,18,80.95%,1991,,,,🇧🇪 Belgium,Clouseau,Geef het op,16,22,28.57%,16,22,28.57%,,,
625,1991,19,85.71%,1991,,,,🇪🇸 Spain,Sergio Dalma,Bailar pegados,4,22,85.71%,4,22,85.71%,,,
626,1991,20,90.48%,1991,,,,🇬🇧 United Kingdom,Samantha Janus,A Message to Your Heart,10.5,22,54.76%,10.5,22,54.76%,,,
627,1991,21,95.24%,1991,,,,🇨🇾 Cyprus,Elena Patroklou,SOS,9,22,61.90%,9,22,61.90%,,,
628,1991,22,100.00%,1991,,,,🇮🇹 Italy,Peppino di Capri,Comme è ddoce 'o mare,7,22,71.43%,7,22,71.43%,,,
629,1992,1,0.00%,1992,,,,🇪🇸 Spain,Serafín,Todo esto es la música,14,23,40.91%,14,23,40.91%,,,
630,1992,2,4.55%,1992,,,,🇧🇪 Belgium,Morgane,"Nous, on veut des violons",20,23,13.64%,20,23,13.64%,,,
631,1992,3,9.09%,1992,,,,🇮🇱 Israel,Dafna Dekel,Ze Rak Sport,6,23,77.27%,6,23,77.27%,,,
632,1992,4,13.64%,1992,,,,🇹🇷 Türkiye,Aylin Vatankoş,Yaz Bitti,19,23,18.18%,19,23,18.18%,,,
633,1992,5,18.18%,1992,,,,🇬🇷 Greece,Cleopatra,Olou tou kosmou i Elpida,5,23,81.82%,5,23,81.82%,,,
634,1992,6,22.73%,1992,,,,🇫🇷 France,Kali,Monté la riviè,8,23,68.18%,8,23,68.18%,,,
635,1992,7,27.27%,1992,,,,🇸🇪 Sweden,Christer Björkman,I morgon är en annan dag,22,23,4.55%,22,23,4.55%,,,
